codigo_municipio,nombre_municipio,nombre_subregion,codigo_subregion,poblacion,hombres,mujeres
5642,SALGAR,SUROESTE,08,19314,9618,9696
5679,SANTA BARBARA,SUROESTE,08,27862,13790,14072
5789,TAMESIS,SUROESTE,08,17176,8650,8526
5792,TARSO,SUROESTE,08,6555,3260,3295
5809,TITIRIBI,SUROESTE,08,11364,5561,5803
5847,URRAO,SUROESTE,08,32139,15979,16160
5856,VALPARAISO,SUROESTE,08,6916,3502,3414
5861,VENECIA,SUROESTE,08,12322,5937,6385
5079,BARBOSA,VALLE DE ABURRA,01,56103,27839,28264
5088,BELLO,VALLE DE ABURRA,01,566456,272851,293605
5129,CALDAS,VALLE DE ABURRA,01,86081,40829,45252
5212,COPACABANA,VALLE DE ABURRA,01,84209,40901,43308
5266,ENVIGADO,VALLE DE ABURRA,01,248304,113975,134329
5308,GIRARDOTA,VALLE DE ABURRA,01,55902,27376,28526
5360,ITAGUI,VALLE DE ABURRA,01,299348,142071,157277
5380,LA ESTRELLA,VALLE DE ABURRA,01,77611,37620,39991
5001,MEDELLIN,VALLE DE ABURRA,01,2616335,1232017,1384318
5631,SABANETA,VALLE DE ABURRA,01,89647,41634,48013
