codigo_municipio,nombre_municipio,nombre_subregion,codigo_subregion,poblacion,hombres,mujeres,altitud,temperatura,humedad_relativa
05264,ENTRERRIOS,NORTE,05,12062,5996,6066,2504.9683245559286,15.831034233321883,80.92413738207811
05310,GOMEZ PLATA,NORTE,05,10397,5126,5271,1496.9975535810815,21.13381235431235,79.41035088967907
05315,GUADALUPE,NORTE,05,6966,3547,3419,1546.0296606270608,20.67299112261275,83.7376890944043
05361,ITUANGO,NORTE,05,28890,17448,11442,1481.2224302924453,19.92491465160014,86.84943638421687
05647,SAN ANDRES DE CUERQUIA,NORTE,05,7649,3916,3733,2184.396249781159,16.62900308901992,85.96633736852613
05658,SAN JOSE DE LA MONTANA,NORTE,05,3920,1909,2011,2783.668223154686,12.804235778351154,84.29169981437292
05664,SAN PEDRO DE LOS MILAGROS,NORTE,05,23573,11331,12242,2521.7877720883785,15.908148616156812,81.57298054581085
05686,SANTA ROSA DE OSOS,NORTE,05,39054,19351,19703,2439.598304560561,15.635420146056001,81.83539624344638
05819,TOLEDO,NORTE,05,5266,2793,2473,1316.3837389963453,21.370143667405642,86.719347460453
05854,VALDIVIA,NORTE,05,14722,7305,7417,864.9005173611066,23.160520200884516,85.8764949900903
05887,YARUMAL,NORTE,05,44457,21615,22842,2127.2850697468925,16.904388919065727,86.63569278302542
05002,ABEJORRAL,ORIENTE,07,21468,11230,10238,1947.1285216608649,17.845753508470054,80.26587064359008
05021,ALEJANDRIA,ORIENTE,07,4955,2454,2501,1545.1006138311257,20.53878312129688,80.03652254618297
05055,ARGELIA,ORIENTE,07,8024,4118,3906,1383.7714529082582,20.639788515339745,69.18784148183947
05197,COCORNA,ORIENTE,07,16551,8171,8380,1376.7320480767937,21.196070886380358,78.40763699852806
05206,CONCEPCION,ORIENTE,07,5049,2607,2442,2008.3878785611828,18.206978483488673,80.84535339705164
05148,EL CARMEN DE VIBORAL,ORIENTE,07,64265,31619,32646,2121.212610426063,16.864358865046654,80.15531571891137
05697,EL SANTUARIO,ORIENTE,07,38116,17932,20184,2215.406938577831,16.5062717446769,81.61663202401094
05313,GRANADA,ORIENTE,07,10785,5336,5449,1769.6651991133845,18.991658346747094,80.07682293046994
05318,GUARNE,ORIENTE,07,59710,29504,30206,2300.0076667856115,16.635609232969053,82.66077219847182
05321,GUATAPE,ORIENTE,07,9020,4372,4648,1948.6246860777899,18.100930622120885,81.1641719216471
05376,LA CEJA,ORIENTE,07,70387,33914,36473,2248.810350557341,16.458331140543244,81.83364013896892
05400,LA UNION,ORIENTE,07,23072,11289,11783,2450.9135886902764,14.969392517965666,81.17739230737098
05440,MARINILLA,ORIENTE,07,69898,34055,35843,2132.190868721346,17.062735897878216,82.0483633669777
05483,NARINO,ORIENTE,07,10812,5509,5303,1622.7436369479087,19.16669525162935,69.69168736106698
05541,PENOL,ORIENTE,07,22592,11019,11573,1996.6372404553292,17.730770996622176,81.35609781817111
05607,RETIRO,ORIENTE,07,25431,12355,13076,2384.3362796653646,15.705553952683207,81.4604240674985
05615,RIONEGRO,ORIENTE,07,146880,71909,74971,2166.363703609127,17.009816849816826,82.71622717182564
05649,SAN CARLOS,ORIENTE,07,16984,8645,8339,1020.8736180911656,22.986100918174916,77.52292892522978
05652,SAN FRANCISCO,ORIENTE,07,5996,2985,3011,875.3413857426895,23.76317586048446,70.59975385182682
05660,SAN LUIS,ORIENTE,07,13791,6742,7049,875.0171864313563,23.781537242472282,73.9705127818541
05667,SAN RAFAEL,ORIENTE,07,16617,8283,8334,1231.48690979655,21.96152928901478,80.27002876479496
05674,SAN VICENTE FERRER,ORIENTE,07,23546,12278,11268,2199.6075120098235,17.066015290262957,82.40091225250544
05756,SONSON,ORIENTE,07,38520,19365,19155,1344.779406972847,20.972627415507667,70.3373791532341
05030,AMAGA,SUROESTE,08,32412,15890,16522,1513.740969737752,21.093242682645766,78.47793069334209
05034,ANDES,SUROESTE,08,46183,23963,22220,2118.5720254365892,16.76961601543657,84.00834549804824
05036,ANGELOPOLIS,SUROESTE,08,6109,3079,3030,1805.1090386824176,19.662194832898788,77.6478798581846
05091,BETANIA,SUROESTE,08,10892,5612,5280,1954.0639690917244,17.766228909188627,83.17779515939952
05093,BETULIA,SUROESTE,08,16604,8487,8117,1627.6162512347626,20.437157977205874,73.19400305157077
05145,CARAMANTA,SUROESTE,08,4951,2465,2486,1802.4070342757502,18.29112767390938,83.59772640490029
05101,CIUDAD BOLIVAR,SUROESTE,08,27711,13839,13872,1613.8151471190342,19.88816345149282,82.47156172318822
05209,CONCORDIA,SUROESTE,08,22737,11290,11447,1402.674903763204,21.55355544427405,71.7874845066148
05282,FREDONIA,SUROESTE,08,25981,13026,12955,1224.0789603070475,22.40608586592432,79.3240932328099
05353,HISPANIA,SUROESTE,08,5846,2904,2942,1198.222966937039,22.254319306043435,79.29948121464531
05364,JARDIN,SUROESTE,08,15513,7692,7821,2294.7631244859995,15.486203703703694,84.2689461406196
05368,JERICO,SUROESTE,08,14454,7171,7283,1705.5976348081485,19.346222306381364,80.03968314390337
05390,LA PINTADA,SUROESTE,08,8614,4340,4274,809.4330759473885,24.425431800412266,79.64862879128795
05467,MONTEBELLO,SUROESTE,08,7035,3558,3477,1694.6508042633563,19.5314309050998,80.80677549710266
05576,PUEBLORRICO,SUROESTE,08,9198,4593,4605,1602.5212860585082,20.260334448160545,78.63456949789598
05642,SALGAR,SUROESTE,08,19314,9618,9696,1719.3041290765955,19.57750794249099,77.70104947190073
05679,SANTA BARBARA,SUROESTE,08,27862,13790,14072,1443.8694357903948,21.368081530979413,79.56808914260847
05789,TAMESIS,SUROESTE,08,17176,8650,8526,1734.092624993016,18.9708103782586,81.67377637474951
05792,TARSO,SUROESTE,08,6555,3260,3295,1124.9459961370903,22.9449561968565,77.86935905442769
05809,TITIRIBI,SUROESTE,08,11364,5561,5803,1247.4761873903765,22.68272212242642,74.16323783977533
05847,URRAO,SUROESTE,08,32139,15979,16160,1613.9166727137692,19.663510927204932,88.52983346709438
05856,VALPARAISO,SUROESTE,08,6916,3502,3414,1068.387736081639,22.78218153846154,81.7343558693115
05861,VENECIA,SUROESTE,08,12322,5937,6385,1131.7614499146562,22.998468933113713,77.43290117883322
05079,BARBOSA,VALLE DE ABURRA,01,56103,27839,28264,1780.4585553365077,19.814245599487393,81.00263039177864
05088,BELLO,VALLE DE ABURRA,01,566456,272851,293605,2243.907279912867,17.21058239941209,81.4958626271892
05129,CALDAS,VALLE DE ABURRA,01,86081,40829,45252,2107.6631250720084,17.884729078428506,79.58168583150288
05212,COPACABANA,VALLE DE ABURRA,01,84209,40901,43308,1915.6977430614363,19.454268745360054,82.22744169181085
05266,ENVIGADO,VALLE DE ABURRA,01,248304,113975,134329,2261.679121148388,16.674719210860427,81.07708033692761
05308,GIRARDOTA,VALLE DE ABURRA,01,55902,27376,28526,1863.819442189076,19.620749777964757,82.49799349650044
05360,ITAGUI,VALLE DE ABURRA,01,299348,142071,157277,1654.185969553294,20.588836104513067,80.77973288504903
05380,LA ESTRELLA,VALLE DE ABURRA,01,77611,37620,39991,2050.178415745482,18.514171404506218,79.38750247426513
05001,MEDELLIN,VALLE DE ABURRA,01,2616335,1232017,1384318,2059.003076914951,18.203481074821894,80.58229864299791
05631,SABANETA,VALLE DE ABURRA,01,89647,41634,48013,1833.3090997034121,19.708892742135244,80.34010822482017
